Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.5365853658536586,0.5863595538110404,0.5365853658536586,0.5333863355168484,0.7130523217845015
Decision Tree,0.5172764227642277,0.541503303312086,0.5172764227642277,0.5221057552701007,0.6544948950154895
Random Forest,0.5995934959349594,0.6073866869785237,0.5995934959349594,0.6000672435523849,0.7403034233905044
Gradient Boosting,0.5985772357723578,0.5878476037012623,0.5985772357723578,0.5799891218349571,0.7215525268224501
XGBoost,0.6209349593495935,0.6098889753765372,0.6209349593495935,0.6001791426065358,0.7292381412133279
